,link,hour,qlength
799,32023,9-10,343.45699999999994
800,32024,9-10,77.34699999999998
801,32025,9-10,362.5369999999999
802,32026,9-10,146.8359999999999
803,32027,9-10,342.93699999999995
804,32028,9-10,367.83699999999993
805,32029,9-10,348.8469999999999
806,32030,9-10,337.7269999999999
807,32031,9-10,360.76699999999994
808,32032,9-10,153.05599999999993
809,32033,9-10,157.13599999999997
810,32034,9-10,337.55699999999996
811,32035,9-10,343.93699999999995
812,32036,9-10,337.7269999999999
813,32037,9-10,146.73599999999988
814,32038,9-10,153.0759999999999
815,41001,9-10,576.9759999999999
816,41002,9-10,558.4659999999999
817,41003,9-10,624.3159999999999
818,41004,9-10,624.3159999999999
819,41005,9-10,563.636
820,41006,9-10,564.0759999999999
821,41007,9-10,364.8229999999999
822,41008,9-10,624.646
823,41009,9-10,582.526
824,41010,9-10,643.396
825,41011,9-10,638.036
826,41012,9-10,570.156
827,41013,9-10,591.1159999999999
828,41014,9-10,600.8159999999999
829,41015,9-10,575.9759999999999
830,41016,9-10,558.4959999999999
831,41017,9-10,558.2959999999999
832,41018,9-10,661.906
833,41019,9-10,667.7459999999999
834,41020,9-10,589.646
835,41021,9-10,630.5759999999999
836,41022,9-10,564.526
837,41023,9-10,574.9759999999999
838,41024,9-10,571.1859999999999
839,41025,9-10,588.266
840,41026,9-10,563.9159999999999
841,42001,9-10,96.618
842,42002,9-10,221.54500000000002
843,42003,9-10,56.238
844,42004,9-10,45.27600000000001
845,42005,9-10,45.27600000000001
846,42006,9-10,49.587999999999965
847,42007,9-10,26.326000000000022
848,42008,9-10,45.226
849,42009,9-10,57.80799999999999
850,42010,9-10,58.20799999999997
851,42011,9-10,63.45799999999997
852,42012,9-10,49.597999999999956
853,42013,9-10,62.27800000000002
854,42014,9-10,91.82799999999997
855,42015,9-10,60.847999999999956
856,42016,9-10,68.15800000000002
857,42017,9-10,80.78800000000001
858,42018,9-10,36.115999999999985
859,42019,9-10,35.26600000000002
860,42020,9-10,243.173
861,42021,9-10,37.406000000000006
862,42022,9-10,43.99600000000004
863,42023,9-10,56.63799999999998
864,42024,9-10,45.646000000000015
865,42025,9-10,45.646000000000015
866,51001,9-10,56.548
867,51002,9-10,61.93799999999999
868,51003,9-10,67.49799999999999
869,51004,9-10,24.97999999999996
870,51005,9-10,25.269999999999982
871,51006,9-10,7.829999999999984
872,51007,9-10,38.75799999999998
873,51008,9-10,37.88799999999998
874,51009,9-10,25.72999999999996
875,51010,9-10,89.97800000000001
876,51011,9-10,94.238
877,51012,9-10,43.367999999999995
878,51013,9-10,43.367999999999995
879,51014,9-10,31.95999999999998
880,51015,9-10,19.069999999999993
881,51016,9-10,20.589999999999975
