,period,inter,direc,cycle,type,pollutant,emi,sim,fuel
547,morning1,Pinebush,NB,20,21,Total Energy,7135027624.139998,0,415.6745600796898
550,morning1,Pinebush,NB,19,21,Total Energy,8825464845.15,0,480.9486891538475
552,morning1,Pinebush,NB,18,21,Total Energy,9133448584.82,0,439.61143747278055
554,morning1,Pinebush,NB,17,21,Total Energy,4568418291.8,0,108.04370183797397
557,morning1,Pinebush,NB,16,21,Total Energy,7186375537.6900015,0,481.34850906383537
559,morning1,Pinebush,NB,15,21,Total Energy,8022656134.95,0,488.3063058963157
561,morning1,Pinebush,NB,14,21,Total Energy,6412383132.440001,0,214.39505085483174
563,morning1,Pinebush,NB,13,21,Total Energy,5332799745.26,0,333.09815031827117
565,morning1,Pinebush,NB,12,21,Total Energy,7783298337.29,0,174.40647622455154
567,morning1,Pinebush,NB,11,21,Total Energy,7554540896.25,0,316.127202548578
568,morning1,Pinebush,NB,10,21,Total Energy,7567270518.83,0,482.19105970567597
571,morning1,Pinebush,NB,9,21,Total Energy,7336404025.1,0,402.13733386298753
575,morning1,Pinebush,NB,8,21,Total Energy,6522833931.2,0,280.7829320105319
578,morning1,Pinebush,NB,7,21,Total Energy,6019600593.389999,0,288.5277498336152
581,morning1,Pinebush,NB,6,21,Total Energy,5518689948.309999,0,271.8425232786418
583,morning1,Pinebush,NB,5,21,Total Energy,7000715860.17,0,504.43278801556664
585,morning1,Pinebush,NB,4,21,Total Energy,4174840755.44,0,178.52701650467057
587,morning1,Pinebush,NB,3,21,Total Energy,7891819085.57,0,474.56618475576937
590,morning1,Pinebush,NB,2,21,Total Energy,6851859836.58,0,360.612750753666
593,morning1,Pinebush,NB,1,21,Total Energy,5263170745.58,0,214.3149408201293
596,morning1,Pinebush,SB,28,21,Total Energy,5582652188.139999,0,128.21027979843228
598,morning1,Pinebush,SB,27,21,Total Energy,2085315762.9770002,0,191.3075068798141
599,morning1,Pinebush,SB,26,21,Total Energy,2308714168.807,0,43.4350460713004
600,morning1,Pinebush,SB,25,21,Total Energy,1059958167.014,0,3.0116402730676652
603,morning1,Pinebush,SB,24,21,Total Energy,2695350753.086,0,209.72730486039765
606,morning1,Pinebush,SB,23,21,Total Energy,1452708976.093,0,84.80345165587394
610,morning1,Pinebush,SB,22,21,Total Energy,3006728292.71,0,274.8493742410075
611,morning1,Pinebush,SB,21,21,Total Energy,1613236067.796,0,86.14976333514454
613,morning1,Pinebush,SB,20,21,Total Energy,1501778163.613,0,54.96205686337672
615,morning1,Pinebush,SB,19,21,Total Energy,2141700506.952,0,100.4307472589508
617,morning1,Pinebush,SB,18,21,Total Energy,2315760499.7320004,0,253.986174240325
619,morning1,Pinebush,SB,17,21,Total Energy,2202064641.919,0,128.97969343440823
622,morning1,Pinebush,SB,16,21,Total Energy,2471954491.183,0,57.52148905631724
626,morning1,Pinebush,SB,15,21,Total Energy,2218454212.434,0,85.36511115128826
629,morning1,Pinebush,SB,14,21,Total Energy,2837474886.846,0,43.491289716598956
630,morning1,Pinebush,SB,13,21,Total Energy,2954527211.109,0,317.7463162366874
632,morning1,Pinebush,SB,12,21,Total Energy,2491179430.314,0,80.14267190131427
633,morning1,Pinebush,SB,11,21,Total Energy,3533091897.935,0,39.30347124828752
636,morning1,Pinebush,SB,10,21,Total Energy,3508288229.129,0,86.98230389596317
638,morning1,Pinebush,SB,9,21,Total Energy,5521211857.440001,0,258.38732885035154
640,morning1,Pinebush,SB,8,21,Total Energy,3097944587.291,0,320.7816686495277
643,morning1,Pinebush,SB,7,21,Total Energy,5061526257.15,0,189.19045810945
647,morning1,Pinebush,SB,6,21,Total Energy,2439353609.388,0,62.65675125444021
649,morning1,Pinebush,SB,5,21,Total Energy,2272340423.7339997,0,177.1742482385921
651,morning1,Pinebush,SB,4,21,Total Energy,2933417220.675,0,164.42092195142504
655,morning1,Pinebush,SB,3,21,Total Energy,3171906771.709,0,100.16261778993048
656,morning1,Pinebush,SB,2,21,Total Energy,2094139964.9870002,0,214.7674361102851
658,morning1,Pinebush,SB,1,21,Total Energy,2538485201.698,0,58.0905832935004
